,Instrument_Time,TS-1003,R5_Time,httemp-130000101,TF-1010,tempg-150010000,TS-1011,httemp-160000107,httemp-162000107,htvat-1620001,TS-1012,htvat-1660001,TS-1004,httemp-134000101,htvat-1340001,TS-1005,htvat-1400001,TF-1006,tempg-140010000,TS-1007,htvat-1450001,TF-1008,tempg-145010000,TS-1009,htvat-1500001
0,0.0,36.96,376.063,0.0,116.8,0.0,117.4,0.0,0.0,0.0,125.6,0.0,36.95,0.0,0.0,37.06,0.0,37.04,0.0,113.8,0.0,117.4,0.0,116.0,0.0
1,0.5,36.84,376.0662,2.5,116.9,2.5,117.6,2.5,2.5,2.5,125.7,2.5,36.8,2.5,2.5,36.93,2.5,36.89,2.5,114.5,2.5,118.1,2.5,116.3,2.5
2,1.0,37.03,376.0694,5.0,116.8,5.0,117.6,5.0,5.0,5.0,125.6,5.0,36.94,5.0,5.0,37.14,5.0,37.03,5.0,114.1,5.0,118.0,5.0,116.1,5.0
3,1.5,36.85,376.0726,7.5,116.8,7.5,117.7,7.5,7.5,7.5,125.6,7.5,36.93,7.5,7.5,37.1,7.5,37.03,7.5,114.1,7.5,117.6,7.5,116.2,7.5
4,2.0,37.01,376.0757,10.0,116.8,10.0,117.6,10.0,10.0,10.0,125.6,10.0,36.91,10.0,10.0,37.17,10.0,36.97,10.0,115.2,10.0,118.0,10.0,116.2,10.0
5,2.5,37.01,376.0789,12.5,116.8,12.5,117.6,12.5,12.5,12.5,125.4,12.5,37.09,12.5,12.5,37.01,12.5,37.04,12.5,114.3,12.5,117.0,12.5,116.1,12.5
6,3.0,36.97,376.0821,15.0,116.9,15.0,117.7,15.0,15.0,15.0,125.5,15.0,36.86,15.0,15.0,37.11,15.0,36.98,15.0,114.2,15.0,116.8,15.0,116.2,15.0
7,3.5,37.03,376.0852,17.5,116.8,17.5,117.5,17.5,17.5,17.5,125.5,17.5,36.86,17.5,17.5,37.09,17.5,37.03,17.5,113.8,17.5,117.0,17.5,116.1,17.5
8,4.0,36.98,376.0884,20.0,116.8,20.0,117.6,20.0,20.0,20.0,125.4,20.0,36.85,20.0,20.0,37.1,20.0,36.94,20.0,114.2,20.0,116.9,20.0,116.0,20.0
9,4.5,36.98,376.0916,22.5,116.8,22.5,117.6,22.5,22.5,22.5,125.5,22.5,36.89,22.5,22.5,37.05,22.5,36.95,22.5,114.4,22.5,116.6,22.5,116.2,22.5
10,5.0,36.95,376.0944,24.5,116.8,24.5,117.5,24.5,24.5,24.5,125.4,24.5,36.92,24.5,24.5,37.09,24.5,36.92,24.5,114.4,24.5,117.4,24.5,116.1,24.5
11,5.5,36.89,,,116.5,,117.6,,,,125.4,,36.82,,,37.0,,36.97,,114.5,,116.7,,116.2,
12,6.0,37.15,,,116.2,,117.4,,,,125.3,,37.07,,,37.11,,37.07,,114.9,,117.4,,116.0,
13,6.5,36.97,,,116.0,,117.4,,,,125.4,,36.93,,,36.96,,36.93,,115.5,,117.5,,116.1,
14,7.0,37.04,,,115.8,,117.5,,,,125.3,,36.99,,,37.1,,37.1,,114.4,,116.4,,116.1,
15,7.5,36.95,,,115.8,,117.6,,,,125.6,,36.83,,,37.05,,37.05,,115.6,,117.0,,116.1,
16,8.0,37.08,,,115.8,,117.5,,,,125.3,,37.0,,,37.08,,37.14,,115.2,,117.1,,116.1,
17,8.5,37.1,,,115.8,,117.4,,,,125.4,,36.83,,,37.13,,36.97,,115.9,,117.3,,116.1,
18,9.0,36.85,,,115.9,,117.5,,,,125.3,,36.84,,,36.94,,37.01,,116.3,,117.2,,116.0,
19,9.5,37.0,,,115.9,,117.3,,,,125.3,,36.93,,,37.01,,37.13,,116.3,,117.7,,116.0,
20,10.0,36.92,,,116.0,,117.5,,,,125.4,,36.95,,,37.09,,37.03,,115.9,,116.4,,115.8,
21,10.5,36.99,,,116.1,,117.5,,,,125.4,,36.76,,,36.98,,36.8,,115.4,,115.6,,115.1,
22,11.0,36.82,,,116.0,,117.3,,,,125.2,,36.77,,,36.9,,36.97,,116.0,,115.9,,114.5,
23,11.5,36.94,,,116.2,,117.4,,,,125.3,,36.94,,,37.2,,37.1,,117.3,,117.4,,114.2,
24,12.0,36.87,,,116.2,,117.5,,,,125.4,,36.88,,,36.93,,37.04,,115.8,,115.7,,114.2,
25,12.5,37.08,,,116.2,,117.3,,,,125.3,,36.86,,,37.1,,37.15,,116.3,,116.4,,114.1,
26,13.0,37.1,,,116.3,,117.4,,,,125.3,,36.83,,,37.11,,37.13,,116.3,,116.1,,114.2,
27,13.5,37.04,,,116.3,,117.3,,,,125.3,,36.92,,,37.15,,37.02,,116.6,,116.2,,114.3,
28,14.0,36.89,,,116.4,,117.4,,,,125.2,,36.92,,,37.07,,36.96,,116.3,,115.5,,114.4,
29,14.5,36.98,,,116.4,,117.3,,,,125.2,,36.97,,,37.14,,37.1,,116.8,,116.1,,114.6,
30,15.0,37.05,,,116.4,,117.4,,,,125.2,,36.82,,,37.07,,37.03,,116.9,,116.4,,114.7,
31,15.5,37.03,,,116.5,,117.2,,,,125.2,,36.93,,,37.08,,37.03,,116.8,,115.9,,114.6,
32,16.0,36.94,,,116.5,,117.3,,,,125.3,,36.81,,,37.12,,36.97,,116.7,,115.9,,114.8,
33,16.5,37.01,,,116.5,,117.2,,,,125.1,,36.89,,,37.09,,36.89,,116.6,,115.8,,114.9,
34,17.0,37.06,,,116.5,,117.2,,,,125.1,,37.07,,,37.15,,37.09,,116.6,,116.5,,114.8,
35,17.5,36.96,,,116.3,,117.2,,,,125.1,,36.85,,,36.95,,36.96,,116.5,,115.6,,115.0,
36,18.0,37.14,,,116.5,,117.2,,,,125.2,,37.07,,,37.14,,37.17,,116.9,,116.4,,115.1,
37,18.5,37.0,,,116.6,,117.3,,,,125.1,,36.92,,,37.17,,37.11,,117.7,,116.9,,115.2,
38,19.0,36.86,,,116.5,,117.1,,,,125.0,,36.83,,,37.07,,36.96,,118.2,,116.7,,115.1,
39,19.5,36.98,,,116.5,,117.1,,,,125.1,,37.02,,,37.13,,37.05,,117.1,,116.0,,115.1,
40,20.0,36.98,,,116.7,,117.3,,,,125.2,,36.83,,,36.98,,36.99,,117.7,,117.3,,115.4,
41,20.5,37.01,,,116.5,,117.0,,,,125.1,,36.86,,,37.03,,36.89,,117.6,,116.8,,115.3,
42,21.0,36.91,,,116.6,,117.1,,,,125.1,,36.94,,,37.16,,36.98,,117.3,,117.1,,115.4,
43,21.5,36.89,,,116.5,,117.1,,,,125.2,,36.84,,,37.03,,36.95,,117.6,,117.2,,115.5,
44,22.0,36.93,,,116.5,,117.0,,,,125.1,,36.92,,,37.11,,37.04,,116.9,,116.8,,115.4,
45,22.5,36.97,,,116.6,,117.2,,,,125.2,,36.96,,,37.15,,36.99,,117.3,,116.9,,115.6,
46,23.0,36.92,,,116.6,,117.3,,,,125.1,,36.85,,,36.97,,36.91,,117.6,,117.8,,115.5,
47,23.5,37.14,,,116.6,,117.2,,,,125.2,,37.02,,,37.22,,37.07,,118.5,,117.4,,115.6,
48,24.0,36.92,,,116.5,,117.0,,,,125.1,,36.78,,,36.97,,37.06,,117.6,,117.3,,115.6,
49,24.5,37.05,,,116.5,,117.3,,,,125.3,,36.98,,,37.04,,37.06,,117.0,,116.3,,115.7,
